INDEX,EXPRESSION,DATETIME,CLOSE
126,D6U21-D6Z21,2021-06-01T14:40:00,0.0002
127,D6U21-D6Z21,2021-06-01T14:42:00,-0.00025
128,D6U21-D6Z21,2021-06-01T15:18:00,0.0003
129,D6U21-D6Z21,2021-06-01T15:23:00,0.0003
130,D6U21-D6Z21,2021-06-01T15:32:00,0.00015
131,D6U21-D6Z21,2021-06-01T15:39:00,0.00015
132,D6U21-D6Z21,2021-06-01T15:44:00,0
133,D6U21-D6Z21,2021-06-01T15:50:00,0.00035
134,D6U21-D6Z21,2021-06-01T15:51:00,0.00025
135,D6U21-D6Z21,2021-06-01T15:53:00,0.00015
136,D6U21-D6Z21,2021-06-01T15:55:00,0.00015
137,D6U21-D6Z21,2021-06-01T17:05:00,0.0003
138,D6U21-D6Z21,2021-06-01T17:38:00,0.00055
139,D6U21-D6Z21,2021-06-01T17:50:00,0.00025
140,D6U21-D6Z21,2021-06-01T19:00:00,0.0005
141,D6U21-D6Z21,2021-06-01T19:18:00,0.0011
142,D6U21-D6Z21,2021-06-01T19:23:00,0.00125
143,D6U21-D6Z21,2021-06-01T19:24:00,0.0012
144,D6U21-D6Z21,2021-06-01T19:31:00,0.0013
145,D6U21-D6Z21,2021-06-01T19:36:00,0.0011
146,D6U21-D6Z21,2021-06-01T19:51:00,0.001
147,D6U21-D6Z21,2021-06-01T20:02:00,0.001
148,D6U21-D6Z21,2021-06-01T21:51:00,0.001
149,D6U21-D6Z21,2021-06-01T23:30:00,0.0007
150,D6U21-D6Z21,2021-06-01T23:31:00,0.0007
151,D6U21-D6Z21,2021-06-01T23:32:00,0.0006
152,D6U21-D6Z21,2021-06-01T23:59:00,0.0004
153,D6U21-D6Z21,2021-06-02T00:01:00,0.0003
154,D6U21-D6Z21,2021-06-02T00:05:00,0.0003
155,D6U21-D6Z21,2021-06-02T00:08:00,0.00045
156,D6U21-D6Z21,2021-06-02T01:01:00,0.00025
157,D6U21-D6Z21,2021-06-02T01:31:00,0.00045
158,D6U21-D6Z21,2021-06-02T01:33:00,0.0004
159,D6U21-D6Z21,2021-06-02T01:38:00,-0.0002
160,D6U21-D6Z21,2021-06-02T01:39:00,-0.0003
161,D6U21-D6Z21,2021-06-02T01:42:00,-0.00025
162,D6U21-D6Z21,2021-06-02T02:01:00,-0.0002
163,D6U21-D6Z21,2021-06-02T02:22:00,0.00005
164,D6U21-D6Z21,2021-06-02T02:28:00,-0.0003
165,D6U21-D6Z21,2021-06-02T02:30:00,-0.0004
166,D6U21-D6Z21,2021-06-02T03:15:00,0.0002
167,D6U21-D6Z21,2021-06-02T03:25:00,0.0001
168,D6U21-D6Z21,2021-06-02T04:05:00,-0.0004
169,D6U21-D6Z21,2021-06-02T04:17:00,-0.0003
170,D6U21-D6Z21,2021-06-02T04:50:00,-0.0002
171,D6U21-D6Z21,2021-06-02T06:08:00,-0.00085
172,D6U21-D6Z21,2021-06-02T06:10:00,-0.00085
173,D6U21-D6Z21,2021-06-02T06:13:00,-0.001
174,D6U21-D6Z21,2021-06-02T06:14:00,-0.0011
175,D6U21-D6Z21,2021-06-02T06:21:00,-0.00145
176,D6U21-D6Z21,2021-06-02T06:30:00,-0.00125
177,D6U21-D6Z21,2021-06-02T06:35:00,-0.00105
178,D6U21-D6Z21,2021-06-02T06:37:00,-0.00115
